last_name,first_name,player_id,year,player_age,p_game,p_total_pa,p_total_hits,p_home_run,p_strikeout,p_walk,p_run,p_out,p_win,p_loss,p_wild_pitch,p_ball,p_called_strike,p_hit_scoring,p_swinging_strike,p_total_ball,p_total_bases,p_total_strike,xba,xslg,xwoba,xobp,xiso,exit_velocity_avg,launch_angle_avg,barrel_batted_rate,whiff_percent,n_fastball_formatted,fastball_avg_speed,fastball_avg_spin,fastball_avg_break_x,fastball_avg_break_z,fastball_avg_break,fastball_range_speed,n_breaking_formatted,breaking_avg_speed,breaking_avg_spin,breaking_avg_break_x,breaking_avg_break_z,breaking_avg_break,breaking_range_speed,n_offspeed_formatted,offspeed_avg_speed,offspeed_avg_spin,offspeed_avg_break_x,offspeed_avg_break_z,offspeed_avg_break,offspeed_range_speed
Montas,Frankie,593423,2021,28,32,778,164,20,207,57,79,561,13,9,11,932,470,34,452,1029,263,1999,0.236,0.402,0.306,0.299,0.166,89.3,11.6,8.7,29.6,58.2,96.3,2353,-11,-13.7,19.8,1.2,19.4,88.9,2467,5.1,-29.3,8.1,1.9,22.4,87.5,1595,-11.5,-31.7,12.4,1.2
Mahle,Tyler,641816,2021,27,33,759,158,24,210,64,78,540,13,6,4,1107,570,31,410,1181,267,2015,0.229,0.364,0.299,0.305,0.136,87.8,13.3,6.5,28.4,53.1,94,2335,-12.1,-13.9,21,1.6,31.1,86.7,2519,2.8,-29.1,8,2.1,15.8,86.4,1841,-14.5,-28.4,16.9,1.9
DeSclafani,Anthony,543101,2021,31,31,676,141,19,152,42,61,503,13,7,7,833,423,27,300,884,224,1674,0.242,0.41,0.304,0.291,0.169,88.9,11.6,8.1,24,45.7,94,2194,-12,-16.7,19.1,1.2,43.8,87,2154,4.5,-33.3,7.2,2.8,10.5,88.2,1583,-15.7,-30.1,16.6,1.3
Cease,Dylan,656302,2021,26,32,708,139,20,226,68,77,497,13,7,13,1030,458,30,478,1116,227,1841,0.21,0.364,0.295,0.297,0.154,89.2,18.5,9.9,34.6,46.8,96.7,2543,-4.4,-10.5,19.4,1.5,45.8,83.9,2838,6.4,-45.9,11.4,3.7,7.4,78.1,1641,-7.3,-29.2,17.4,2.6
McCullersJr.,Lance,621121,2021,28,28,684,122,13,185,76,59,487,13,5,7,994,552,21,350,1077,193,1711,0.209,0.315,0.285,0.309,0.106,89.8,5.1,5.3,30.2,35.5,93.8,2132,-13,-25.1,14.9,1.9,50.8,85.1,2859,12.8,-40.7,15.4,1.8,13.7,85.8,1682,-17.2,-37.6,17.5,1.5
Rodriguez,Eduardo,593958,2021,28,32,675,172,19,185,47,87,473,13,8,0,902,448,41,349,948,272,1773,0.233,0.367,0.288,0.289,0.134,86.5,12.3,6.8,26.3,68.8,91.5,2170,6.2,-20.2,14.9,2.5,8.1,82.1,2140,-3,-44.4,5.4,1.9,23.1,85.4,1884,16.7,-31.2,18.1,2.3
Rodon,Carlos,607074,2021,29,24,534,91,13,185,36,39,398,13,5,7,704,341,17,372,757,147,1462,0.189,0.316,0.254,0.256,0.127,89.2,18.7,6.6,33.2,58.7,95.4,2293,7.9,-12.6,19.4,2.4,28.9,85.2,2441,-8.1,-39.2,8.9,3.4,12.4,85.2,1673,13.5,-26.2,18,1.8
Berrios,Jose,621244,2021,27,32,781,159,22,204,45,83,576,12,9,3,962,583,37,338,1031,271,2012,0.242,0.408,0.311,0.302,0.166,88.4,12.4,9.1,23.7,56.3,93.9,2180,-13.2,-18.3,18.8,1.2,30.5,82.9,2338,15,-43.6,15.6,1.6,13.2,84.8,1521,-13.9,-33.6,14.9,1.9
Marquez,German,608566,2021,26,32,756,165,21,176,64,92,540,12,11,15,928,444,43,360,1012,265,1776,0.249,0.389,0.309,0.317,0.14,88.9,5.2,5.3,27,52.9,94.7,2075,-6.9,-19,13.6,1.5,45.1,85.8,2526,2.5,-37.1,4.3,2,2.1,86.1,1670,-10.8,-29.1,13.7,1.8
Miley,Wade,489119,2021,35,28,690,166,17,125,50,64,489,12,7,2,860,397,26,292,964,256,1628,0.252,0.398,0.311,0.311,0.146,85.7,8,6.1,23.7,64.1,86.6,2263,-1.9,-26.9,10.7,2.7,8.6,77.4,2343,-11.3,-47,13.5,2.8,27.4,81.9,1807,14.8,-33.9,16.4,1.5
Law,Derek,571882,2021,31,9,67,16,2,14,8,7,45,0,0,1,102,42,9,48,110,27,182,0.263,0.438,0.342,0.348,0.176,89.9,10.8,8.9,34.3,27.7,93.7,2134,-6.4,-15.2,17.9,1.6,68.5,84.9,2268,3.4,-39.3,6.2,4.9,3.8,86.1,1862,-15.6,-27.6,18.4,1.5
Zeuch,T.J.,643615,2021,26,5,74,21,6,8,9,16,45,0,2,0,94,44,4,23,105,44,181,0.318,0.668,0.447,0.401,0.35,91.4,4.8,15.8,16.8,72,92.3,2185,-13.5,-23.9,16.8,3.1,20.6,83,1985,3.3,-38.3,4.1,2.2,7.3,81.7,1573,-12.9,-31.9,16.1,2
Yajure,Miguel,664337,2021,23,4,68,17,6,11,7,14,45,0,2,0,86,40,3,22,96,40,143,0.306,0.634,0.428,0.388,0.327,89.7,16,20.4,21.4,48.5,89.4,2403,-3.8,-20.2,15.7,2,26.8,78.6,2523,11.5,-53.1,16.8,1.5,24.7,87.8,1619,-12.8,-31.9,13.5,1.1
